producto_original,producto_corregido,producto_key
Desodorante,Desodorante,DESODORANTE
Detergente P/ropa,Detergente P/ropa,DETERGENTE P/ROPA
Detergente P/ropa y Trastes,Detergente P/ropa y Trastes,DETERGENTE P/ROPA Y TRASTES
Detergente P/trastes,Detergente P/trastes,DETERGENTE P/TRASTES
Dexabion,Dexabion,DEXABION
Dexametasona,Dexametasona,DEXAMETASONA
Dexivant,Dexivant,DEXIVANT
Dextrometorfano Guaifenesina,Dextrometorfano Guaifenesina,DEXTROMETORFANO GUAIFENESINA
Diabion,Diabion,DIABION
Diane,Diane,DIANE
Diccionario,Diccionario,DICCIONARIO
Diclofenaco,Diclofenaco,DICLOFENACO
"Diclofenaco. Vitaminas B1, B6 y B12","Diclofenaco. Vitaminas B1, B6 y B12","DICLOFENACO. VITAMINAS B1, B6 Y B12"
"Diclofenaco. Vitaminas B1, B6 y B13","Diclofenaco. Vitaminas B1, B6 y B13","DICLOFENACO. VITAMINAS B1, B6 Y B13"
Dicloxacilina,Dicloxacilina,DICLOXACILINA
Difenidol,Difenidol,DIFENIDOL
Dimegan-d,Dimegan-d,DIMEGAN-D
Dimenhidrinato,Dimenhidrinato,DIMENHIDRINATO
Dimoflax,Dimoflax,DIMOFLAX
Diovan,Diovan,DIOVAN
Dip,Dip,DIP
Diprospan,Diprospan,DIPROSPAN
Disco Compacto,Disco Compacto,DISCO COMPACTO
Dolac,Dolac,DOLAC
Dolo-neurobi?n,Dolo-neurobión,DOLO-NEUROBION
Dolo-neurobi?n Forte,Dolo-neurobión Forte,DOLO-NEUROBION FORTE
Dolo-neurobión,Dolo-neurobión,DOLO-NEUROBION
Dolo-neurobión Forte,Dolo-neurobión Forte,DOLO-NEUROBION FORTE
Dolocartigen,Dolocartigen,DOLOCARTIGEN
Dorixina Forte,Dorixina Forte,DORIXINA FORTE
Dorixina Relax,Dorixina Relax,DORIXINA RELAX
Durazno,Durazno,DURAZNO
Duraznos en Alm?bar,Duraznos en Almíbar,DURAZNOS EN ALMIBAR
Duraznos en Almíbar,Duraznos en Almíbar,DURAZNOS EN ALMIBAR
Dvd / Blu Ray,Dvd / Blu Ray,DVD / BLU RAY
Dátil,Dátil,DATIL
Efexor Xr,Efexor Xr,EFEXOR XR
Ejote,Ejote,EJOTE
Elatec,Elatec,ELATEC
Electr?nicos de Video,Electrónicos de Video,ELECTRONICOS DE VIDEO
Electrolitos Orales,Electrolitos Orales,ELECTROLITOS ORALES
Electrónicos de Video,Electrónicos de Video,ELECTRONICOS DE VIDEO
Elequine,Elequine,ELEQUINE
Elote,Elote,ELOTE
Empanizadores,Empanizadores,EMPANIZADORES
Enaladil,Enaladil,ENALADIL
Enalapril,Enalapril,ENALAPRIL
Enterogermina,Enterogermina,ENTEROGERMINA
Espaven,Espaven,ESPAVEN
Espinacas,Espinacas,ESPINACAS
Espironolactona,Espironolactona,ESPIRONOLACTONA
Espuma de Afeitar,Espuma de Afeitar,ESPUMA DE AFEITAR
Estufas,Estufas,ESTUFAS
Eutirox 100,Eutirox 100,EUTIROX 100
Evista,Evista,EVISTA
Evra,Evra,EVRA
Exforge,Exforge,EXFORGE
Exforge Hct,Exforge Hct,EXFORGE HCT
Extractores de Jugos y Exprimidores,Extractores de Jugos y Exprimidores,EXTRACTORES DE JUGOS Y EXPRIMIDORES
F?rmula L?ctea,Fórmula Láctea,FORMULA LACTEA
Fabroven,Fabroven,FABROVEN
Falda Escuela Oficial,Falda Escuela Oficial,FALDA ESCUELA OFICIAL
Febrax,Febrax,FEBRAX
Ferranina Fol,Ferranina Fol,FERRANINA FOL
Fibra para Cocina,Fibra para Cocina,FIBRA PARA COCINA
Figuritas de Mazapán,Figuritas de Mazapán,FIGURITAS DE MAZAPAN
Finasterida,Finasterida,FINASTERIDA
Flan,Flan,FLAN
Flanax,Flanax,FLANAX
Floretes de Br?coli,Floretes de Brócoli,FLORETES DE BROCOLI
Floretes de Brócoli,Floretes de Brócoli,FLORETES DE BROCOLI
Fluconazol,Fluconazol,FLUCONAZOL
Fluoxetina,Fluoxetina,FLUOXETINA
Folders,Folders,FOLDERS
FosFácil,FosFácil,FOSFACIL
Fosamax Plus,Fosamax Plus,FOSAMAX PLUS
Fosfocil,Fosfocil,FOSFOCIL
Freidoras de Aire,Freidoras de Aire,FREIDORAS DE AIRE
Fresa,Fresa,FRESA
Frijol,Frijol,FRIJOL
Frijoles,Frijoles,FRIJOLES
