presentacion_original,presentacion_corregida,presentacion_key,unidad_base,contenido_base,cantidad,unidad_original,unidades_empaque,subtipo_conteo,regla,confianza,requiere_revision,motivo_revision,metodo,es_comparable
Vaso 150 Gr. Natural. Deslactosado. Sin Azúcar Añadida. Griego,Vaso 150 Gr. Natural. Deslactosado. Sin Azúcar Añadida. Griego,VASO 150 GR. NATURAL. DESLACTOSADO. SIN AZUCAR ANADIDA. GRIEGO,kg,0.15,150.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 196 Gr.,Vaso 196 Gr.,VASO 196 GR,kg,0.196,196.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 200 Ml.,Vaso 200 Ml.,VASO 200 ML,l,0.2,200.0,ML,,,cantidad_explicita,alta,False,,auto,True
Vaso 235 Gr.,Vaso 235 Gr.,VASO 235 GR,kg,0.235,235.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 245 Gr. Auténtico,Vaso 245 Gr. Auténtico,VASO 245 GR. AUTENTICO,kg,0.245,245.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 450 Ml.,Vaso 450 Ml.,VASO 450 ML,l,0.45,450.0,ML,,,cantidad_explicita,alta,False,,auto,True
Vaso 64 Gr. Sopa Instantánea Sabor a Pollo,Vaso 64 Gr. Sopa Instantánea Sabor a Pollo,VASO 64 GR. SOPA INSTANTANEA SABOR A POLLO,kg,0.064,64.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 64 Gr. Sopa Instantánea con Camarón y Chile Piquín,Vaso 64 Gr. Sopa Instantánea con Camarón y Chile Piquín,VASO 64 GR. SOPA INSTANTANEA CON CAMARON Y CHILE PIQUIN,kg,0.064,64.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 64 Gr. Sopa Instantánea. Sabor a Pollo,Vaso 64 Gr. Sopa Instantánea. Sabor a Pollo,VASO 64 GR. SOPA INSTANTANEA. SABOR A POLLO,kg,0.064,64.0,GR,,,cantidad_explicita,alta,False,,auto,True
Ve2910xo. 18 Plgs. Pedestal. 3 Velocidades,Ve2910xo. 18 Plgs. Pedestal. 3 Velocidades,VE2910XO. 18 PLGS. PEDESTAL. 3 VELOCIDADES,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
Ve3171x0. 16 Plgs. Pedestal. 3 Velocidades,Ve3171x0. 16 Plgs. Pedestal. 3 Velocidades,VE3171X0. 16 PLGS. PEDESTAL. 3 VELOCIDADES,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
Ve3171xo. 16 Plgs. Pedestal. 3 Velocidades,Ve3171xo. 16 Plgs. Pedestal. 3 Velocidades,VE3171XO. 16 PLGS. PEDESTAL. 3 VELOCIDADES,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
Ve3179xo o Ve3179xom (repelente). 16 Plgs. Pedestal y Pared. 3 Velocidades,Ve3179xo o Ve3179xom (repelente). 16 Plgs. Pedestal y Pared. 3 Velocidades,VE3179XO O VE3179XOM (REPELENTE). 16 PLGS. PEDESTAL Y PARED. 3 VELOCIDADES,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
Ve3192x0. 16 Plgs. Pedestal. 3 Velocidades,Ve3192x0. 16 Plgs. Pedestal. 3 Velocidades,VE3192X0. 16 PLGS. PEDESTAL. 3 VELOCIDADES,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
Ve3199xo. 16 Plgs. Pedestal. 3 Velocidades,Ve3199xo. 16 Plgs. Pedestal. 3 Velocidades,VE3199XO. 16 PLGS. PEDESTAL. 3 VELOCIDADES,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
"Ve34w0x0. 18 Plgs. Piso, Mesa o Pared. 4 Velocidades","Ve34w0x0. 18 Plgs. Piso, Mesa o Pared. 4 Velocidades","VE34W0X0. 18 PLGS. PISO, MESA O PARED. 4 VELOCIDADES",,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
Ve7700x0. 18 Plgs. Pedestal. 3 Velocidades. (potente y Silencioso),Ve7700x0. 18 Plgs. Pedestal. 3 Velocidades. (potente y Silencioso),VE7700X0. 18 PLGS. PEDESTAL. 3 VELOCIDADES. (POTENTE Y SILENCIOSO),,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
Ve7741x0. 18 Plgs. Pared y Pedestal. 3 Velocidades,Ve7741x0. 18 Plgs. Pared y Pedestal. 3 Velocidades,VE7741X0. 18 PLGS. PARED Y PEDESTAL. 3 VELOCIDADES,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
Ve7752xo. 18 Plgs. Pedestal. 4 Velocidades,Ve7752xo. 18 Plgs. Pedestal. 4 Velocidades,VE7752XO. 18 PLGS. PEDESTAL. 4 VELOCIDADES,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
